Original_Date,Year,Month,Day,Site,Species,Count,Date
9/30/07,2007,September,30,Embu,Jacana jacana,6,2007-09-30
9/30/07,2007,September,30,Embu,Pardirallus nigricans,2,2007-09-30
9/30/07,2007,September,30,Embu,Tringa melanoleuca,2,2007-09-30
9/30/07,2007,September,30,Embu,Tringa solitaria,2,2007-09-30
9/30/07,2007,September,30,PET,Actitis macularius,1,2007-09-30
9/30/07,2007,September,30,PET,Agelasticus cyanopus,1,2007-09-30
9/30/07,2007,September,30,PET,Amazonetta brasiliensis,41,2007-09-30
9/30/07,2007,September,30,PET,Anas bahamensis,8,2007-09-30
9/30/07,2007,September,30,PET,Spatula versicolor,1,2007-09-30
9/30/07,2007,September,30,PET,Anhinga anhinga,1,2007-09-30
9/30/07,2007,September,30,PET,Aramides cajaneus,1,2007-09-30
9/30/07,2007,September,30,PET,Aramus guarauna,6,2007-09-30
9/30/07,2007,September,30,PET,Ardea alba,5,2007-09-30
9/30/07,2007,September,30,PET,Ardea cocoi,2,2007-09-30
9/30/07,2007,September,30,PET,Butorides striata,1,2007-09-30
9/30/07,2007,September,30,PET,Dendrocygna bicolor,13,2007-09-30
9/30/07,2007,September,30,PET,Egretta thula,9,2007-09-30
9/30/07,2007,September,30,PET,Gallinula galeata,617,2007-09-30
9/30/07,2007,September,30,PET,Jacana jacana,22,2007-09-30
9/30/07,2007,September,30,PET,Nannopterum brasilianum,8,2007-09-30
9/30/07,2007,September,30,PET,Pardirallus nigricans,3,2007-09-30
9/30/07,2007,September,30,PET,Phalaropus tricolor,2,2007-09-30
9/30/07,2007,September,30,PET,Tapera naevia,2,2007-09-30
9/30/07,2007,September,30,PET,Tringa flavipes,10,2007-09-30
9/30/07,2007,September,30,PET,Tringa melanoleuca,2,2007-09-30
10/3/07,2007,October,3,PET,Actitis macularius,1,2007-10-03
10/3/07,2007,October,3,PET,Anas bahamensis,8,2007-10-03
10/3/07,2007,October,3,PET,Dendrocygna bicolor,37,2007-10-03
10/3/07,2007,October,3,PET,Dendrocygna viduata,4,2007-10-03
10/3/07,2007,October,3,PET,Tringa melanoleuca,4,2007-10-03
10/3/07,2007,October,3,PET,Tringa solitaria,1,2007-10-03
10/6/07,2007,October,6,PET,Actitis macularius,1,2007-10-06
10/6/07,2007,October,6,PET,Anas bahamensis,13,2007-10-06
10/6/07,2007,October,6,PET,Dendrocygna bicolor,24,2007-10-06
10/6/07,2007,October,6,PET,Dendrocygna viduata,17,2007-10-06
10/6/07,2007,October,6,PET,Tringa melanoleuca,8,2007-10-06
10/6/07,2007,October,6,PET,Tringa solitaria,1,2007-10-06
10/14/07,2007,October,14,PET,Dendrocygna autumnalis,1,2007-10-14
10/21/07,2007,October,21,PET,Actitis macularius,2,2007-10-21
10/21/07,2007,October,21,PET,Tringa melanoleuca,1,2007-10-21
10/28/07,2007,October,28,Embu,Actitis macularius,2,2007-10-28
10/28/07,2007,October,28,Embu,Amazonetta brasiliensis,12,2007-10-28
10/28/07,2007,October,28,Embu,Anas bahamensis,3,2007-10-28
10/28/07,2007,October,28,Embu,Ardea alba,6,2007-10-28
10/28/07,2007,October,28,Embu,Bartramia longicauda,1,2007-10-28
10/28/07,2007,October,28,Embu,Ardea ibis,6,2007-10-28
10/28/07,2007,October,28,Embu,Dendrocygna viduata,4,2007-10-28
10/28/07,2007,October,28,Embu,Gallinula galeata,25,2007-10-28
10/28/07,2007,October,28,Embu,Gallinago paraguaiae,8,2007-10-28
10/28/07,2007,October,28,Embu,Himantopus mexicanus melanurus,4,2007-10-28
10/28/07,2007,October,28,Embu,Jacana jacana,6,2007-10-28
10/28/07,2007,October,28,Embu,Nannopterum brasilianum,1,2007-10-28
10/28/07,2007,October,28,Embu,Pardirallus nigricans,2,2007-10-28
10/28/07,2007,October,28,Embu,Tringa flavipes,75,2007-10-28
10/28/07,2007,October,28,Embu,Tringa melanoleuca,90,2007-10-28
10/28/07,2007,October,28,Embu,Tringa solitaria,8,2007-10-28
10/28/07,2007,October,28,PET,Actitis macularius,1,2007-10-28
10/28/07,2007,October,28,PET,Amazonetta brasiliensis,14,2007-10-28
10/28/07,2007,October,28,PET,Anas bahamensis,12,2007-10-28
10/28/07,2007,October,28,PET,Ardea alba,2,2007-10-28
10/28/07,2007,October,28,PET,Butorides striata,1,2007-10-28
10/28/07,2007,October,28,PET,Dendrocygna bicolor,17,2007-10-28
10/28/07,2007,October,28,PET,Dendrocygna viduata,8,2007-10-28
10/28/07,2007,October,28,PET,Egretta thula,3,2007-10-28
10/28/07,2007,October,28,PET,Jacana jacana,2,2007-10-28
10/28/07,2007,October,28,PET,Nannopterum brasilianum,5,2007-10-28
10/28/07,2007,October,28,PET,Pardirallus nigricans,2,2007-10-28
10/28/07,2007,October,28,PET,Ramphocelus bresilia,1,2007-10-28
10/28/07,2007,October,28,PET,Rostrhamus sociabilis,2,2007-10-28
10/28/07,2007,October,28,PET,Tringa melanoleuca,2,2007-10-28
11/25/07,2007,November,25,Embu,Amazonetta brasiliensis,8,2007-11-25
11/25/07,2007,November,25,Embu,Ardea alba,2,2007-11-25
11/25/07,2007,November,25,Embu,Bartramia longicauda,5,2007-11-25
11/25/07,2007,November,25,Embu,Gallinula galeata,15,2007-11-25
11/25/07,2007,November,25,Embu,Gallinago paraguaiae,10,2007-11-25
11/25/07,2007,November,25,Embu,Jacana jacana,12,2007-11-25
11/25/07,2007,November,25,Embu,Tringa flavipes,200,2007-11-25
11/25/07,2007,November,25,Embu,Tringa melanoleuca,35,2007-11-25
11/25/07,2007,November,25,Embu,Tringa solitaria,4,2007-11-25
11/25/07,2007,November,25,PET,Actitis macularius,4,2007-11-25
11/25/07,2007,November,25,PET,Amazonetta brasiliensis,32,2007-11-25
11/25/07,2007,November,25,PET,Anas bahamensis,16,2007-11-25
11/25/07,2007,November,25,PET,Ardea alba,2,2007-11-25
11/25/07,2007,November,25,PET,Butorides striata,2,2007-11-25
11/25/07,2007,November,25,PET,Calidris melanotos,1,2007-11-25
11/25/07,2007,November,25,PET,Dendrocygna bicolor,15,2007-11-25
11/25/07,2007,November,25,PET,Dendrocygna viduata,18,2007-11-25
